Store_Ratio,Basket_Ratio,Store_Score,Store_Presence,Score_3,popularity
0.462,0.374,-12.069,0.949,0.174,3
0.419,0.938,-3.12,0.000683,0.3329999999999999,4
0.497,0.757,-4.189,0.0449,0.507,4
0.889,0.863,-3.011,0.289,0.7759999999999999,4
0.731,0.573,-10.059,0.401,0.145,4
0.282,0.0901,-22.603,0.992,0.0357,4
0.813,0.633,-8.645,0.0637,0.154,4
0.0857,0.0033399999999999,-35.427,0.985,0.153,3
0.78,0.603,-5.766,0.4639999999999999,0.807,4
0.433,0.0437,-24.025,0.994,0.196,3
0.364,0.00547,-30.853,0.995,0.0784,4
0.6409999999999999,0.81,-4.516,0.0422,0.805,4
0.41,0.2339999999999999,-15.236,0.7979999999999999,0.19,4
0.478,0.98,-2.591,0.0002549999999999,0.911,4
0.149,0.0994,-23.041,0.979,0.0394,5
0.3929999999999999,0.256,-12.95,0.303,0.0967,3
0.758,0.7,-8.771,0.135,0.0987,4
0.473,0.432,-10.362,0.322,0.1889999999999999,4
0.68,0.716,-3.571,0.0291,0.633,4
0.486,0.382,-6.183,0.613,0.1639999999999999,3
0.528,0.856,-4.605,0.052,0.5720000000000001,4
0.3879999999999999,0.143,-17.545,0.947,0.578,3
0.467,0.186,-18.418,0.963,0.228,3
0.455,0.178,-19.848,0.983,0.386,4
0.0866,0.996,-20.379,0.184,0.0116,3
0.4429999999999999,0.8440000000000001,-5.414,0.00251,0.452,4
0.887,0.161,-12.325,0.0184,0.0833,4
0.693,0.201,-9.903,0.9,0.679,4
0.7440000000000001,0.823,-4.1610000000000005,0.3229999999999999,0.913,4
0.236,0.0164,-32.58,0.996,0.191,4
0.267,0.0322,-18.147,0.984,0.0609,4
0.843,0.908,-3.207,0.0139,0.351,4
0.8759999999999999,0.685,-6.06,0.0469,0.402,4
0.638,0.182,-13.046,0.682,0.247,4
0.705,0.3279999999999999,-13.355,0.118,0.281,4
0.67,0.7140000000000001,-5.94,0.0226,0.865,4
0.8420000000000001,0.488,-7.856,0.218,0.6459999999999999,4
0.519,0.46,-14.53,0.823,0.675,4
0.503,0.967,-2.492,3.16e-05,0.254,4
0.205,0.989,-4.5360000000000005,0.00121,0.311,4
0.905,0.85,-4.83,0.203,0.631,4
0.478,0.485,-12.77,0.84,0.688,4
0.598,0.853,-5.372999999999999,0.132,0.315,1
0.2019999999999999,0.153,-23.773000000000003,0.915,0.28,4
0.301,0.012,-32.691,0.995,0.0861,5
0.6509999999999999,0.628,-5.811,0.173,0.513,4
0.779,0.335,-13.055,0.884,0.807,4
0.613,0.642,-6.189,0.465,0.628,4
0.624,0.246,-16.523,0.856,0.718,4
0.868,0.638,-7.746,0.146,0.4589999999999999,4
0.626,0.794,-8.891,0.0040799999999999,0.371,4
0.5,0.0923,-17.195999999999998,0.926,0.324,4
0.218,0.0207,-30.989,0.985,0.0901,3
0.598,0.809,-4.168,0.00179,0.653,4
0.379,0.023,-29.144,0.991,0.1639999999999999,4
0.528,0.487,-9.214,0.288,0.0466,4
0.447,0.0848,-18.481,0.954,0.268,4
0.262,0.0557,-20.133,0.99,0.0395,4
0.0674,0.0319,-25.053,0.947,0.0384,3
0.6759999999999999,0.948,-2.628,0.0553,0.632,3
0.471,0.3879999999999999,-17.334,0.3829999999999999,0.0917,4
0.434,0.0193,-26.368,0.99,0.327,4
0.318,0.508,-6.067,0.46,0.301,3
0.599,0.0985,-18.072,0.992,0.2739999999999999,4
0.812,0.506,-10.729,0.143,0.701,4
0.741,0.8590000000000001,-5.074,0.491,0.369,4
0.5720000000000001,0.534,-8.466000000000001,0.245,0.33,4
0.698,0.114,-18.47,0.921,0.133,4
0.159,0.0578,-25.511,0.87,0.1119999999999999,3
0.575,0.188,-18.758,0.841,0.3339999999999999,4
0.351,0.8029999999999999,-7.752999999999999,0.0164,0.33,4
0.5920000000000001,0.877,-4.05,0.0095,0.7120000000000001,4
0.568,0.522,-8.168,0.264,0.452,4
0.675,0.365,-10.887,0.765,0.414,4
0.8220000000000001,0.938,-2.7,0.0254,0.775,4
0.7759999999999999,0.763,-8.124,0.182,0.82,4
0.165,0.00509,-34.734,0.991,0.0312,3
0.584,0.408,-11.921,0.669,0.245,4
0.184,0.00527,-37.264,0.995,0.151,3
0.586,0.208,-15.224,0.947,0.451,4
0.166,0.0744,-21.009,0.792,0.0349,4
0.493,0.914,-5.894,0.000136,0.74,4
0.173,0.314,-13.002,0.818,0.0722,3
0.631,0.597,-7.382000000000001,0.379,0.665,4
0.581,0.3989999999999999,-9.322,0.916,0.183,4
0.48,0.602,-6.335,0.487,0.2689999999999999,4
0.557,0.0671,-20.697,0.989,0.962,4
0.696,0.916,-3.72,0.6920000000000001,0.974,3
0.177,0.384,-29.537,0.529,0.0645,4
0.5429999999999999,0.5870000000000001,-3.792,0.713,0.309,4
0.807,0.5489999999999999,-9.479,0.2739999999999999,0.481,4
0.604,0.366,-7.881,0.7190000000000001,0.181,3
0.4479999999999999,0.00504,-27.869,0.995,0.33,4
0.755,0.507,-11.368,0.278,0.7170000000000001,4
0.862,0.804,-4.484,0.253,0.951,4
0.55,0.917,-4.575,1.85e-05,0.245,3
0.598,0.636,-9.972,0.5429999999999999,0.039,4
0.655,0.523,-7.428999999999999,0.126,0.897,4
0.515,0.691,-4.0280000000000005,0.624,0.484,3
0.877,0.61,-7.817,0.0238,0.634,4
0.4429999999999999,0.205,-12.685,0.835,0.109,4
0.716,0.6559999999999999,-7.88,0.0323,0.119,4
0.6729999999999999,0.1989999999999999,-12.351,0.855,0.228,4
0.203,0.00399,-35.638000000000005,0.985,0.0779,4
0.445,0.716,-12.041,0.922,0.825,3
0.71,0.434,-6.78,0.059,0.385,3
0.589,0.8959999999999999,-3.5780000000000003,0.1159999999999999,0.363,4
0.4479999999999999,0.6859999999999999,-7.411,0.146,0.228,4
0.6779999999999999,0.181,-10.56,0.8220000000000001,0.0684,5
0.591,0.515,-6.004,0.36,0.562,4
0.723,0.503,-15.835,0.427,0.956,4
0.211,0.02,-27.685,0.992,0.3,4
0.591,0.759,-3.785,0.0484,0.235,4
0.946,0.772,-7.537000000000001,0.0512,0.743,4
0.884,0.3879999999999999,-13.199000000000002,0.0298,0.2189999999999999,4
0.314,0.268,-11.24,0.895,0.391,3
0.175,0.0475,-29.131,0.984,0.0453,3
0.475,0.322,-10.687,0.367,0.387,4
0.496,0.863,-4.1530000000000005,0.0046,0.243,4
0.662,0.884,-4.104,0.0139999999999999,0.484,4
0.496,0.1009999999999999,-22.118,0.65,0.62,3
0.725,0.561,-10.348,0.0186,0.809,4
0.113,0.124,-24.054,0.969,0.0717,4
0.773,0.622,-11.283,0.0279999999999999,0.8320000000000001,4
0.3989999999999999,0.3379999999999999,-13.026,0.629,0.335,4
0.7659999999999999,0.8140000000000001,-4.131,0.0304,0.308,4
0.72,0.7909999999999999,-4.689,0.0384,0.7559999999999999,4
0.4579999999999999,0.319,-14.533,0.0429,0.115,3
0.477,0.14,-13.396,0.902,0.148,3
0.698,0.664,-10.923,0.1969999999999999,0.8009999999999999,4
0.665,0.128,-21.172,0.935,0.413,4
0.6709999999999999,0.0705,-18.373,0.953,0.695,4
0.937,0.648,-6.047000000000001,0.14,0.631,4
0.602,0.885,-4.659,0.247,0.883,4
0.7020000000000001,0.608,-6.843,0.0736,0.597,4
0.588,0.397,-16.155,0.7020000000000001,0.178,4
0.682,0.4429999999999999,-11.347,0.2,0.5429999999999999,4
0.797,0.607,-6.457999999999999,0.439,0.613,4
0.447,0.932,-4.7,0.514,0.846,4
0.317,0.57,-5.331,0.242,0.322,4
0.804,0.928,-7.827000000000001,0.0754,0.8009999999999999,4
0.715,0.6659999999999999,-5.715,0.084,0.901,4
0.493,0.921,-5.471,2.74e-06,0.414,4
0.511,0.477,-8.144,0.522,0.265,4
0.513,0.4479999999999999,-6.961,0.632,0.126,4
0.215,0.0397,-32.43,0.995,0.204,4
0.7240000000000001,0.498,-4.563,0.29,0.8690000000000001,4
0.789,0.728,-7.869,0.0473,0.645,4
0.647,0.8,-5.384,0.0647,0.942,4
0.7509999999999999,0.501,-12.151,0.2339999999999999,0.902,4
0.0767,0.0116,-28.464,0.954,0.035,5
0.4539999999999999,0.462,-8.267000000000001,0.0337,0.223,4
0.6609999999999999,0.732,-5.2,0.0562,0.31,4
0.812,0.7090000000000001,-7.857,0.195,0.908,4
0.7559999999999999,0.757,-7.167999999999999,0.4429999999999999,0.4539999999999999,4
0.735,0.831,-5.898,0.00166,0.7559999999999999,4
0.22,0.708,-9.051,0.00292,0.4529999999999999,4
0.563,0.5920000000000001,-4.571000000000001,0.209,0.136,4
0.637,0.358,-9.086,0.813,0.6920000000000001,4
0.5429999999999999,0.485,-6.85,0.5579999999999999,0.371,4
0.532,0.00248,-28.933000000000003,0.993,0.153,4
0.506,0.69,-6.077999999999999,0.637,0.938,4
0.36,0.0714,-23.33,0.992,0.195,3
0.579,0.872,-6.126,0.159,0.7609999999999999,4
0.151,0.0451,-26.128,0.971,0.068,3
0.535,0.677,-6.875,0.568,0.94,4
0.5,0.292,-8.554,0.746,0.37,4
0.4379999999999999,0.178,-9.402,0.957,0.344,1
0.4429999999999999,0.91,-3.129,0.354,0.804,5
0.6,0.8109999999999999,-7.956,0.00138,0.467,4
0.64,0.8640000000000001,-6.5760000000000005,0.00832,0.7,4
0.522,0.679,-7.88,0.074,0.2189999999999999,4
0.746,0.1009999999999999,-19.888,0.807,0.68,4
0.502,0.515,-13.046,0.254,0.0592,4
0.4429999999999999,0.0038799999999999,-31.576,0.995,0.367,3
0.644,0.292,-18.486,0.948,0.494,4
0.5920000000000001,0.8370000000000001,-5.7410000000000005,0.00121,0.66,4
0.7559999999999999,0.589,-7.305,0.171,0.305,4
0.2769999999999999,0.962,-3.408,0.00398,0.355,4
0.653,0.69,-5.003,0.109,0.652,4
0.179,0.386,-16.369,0.727,0.00238,3
0.696,0.7090000000000001,-7.641,0.033,0.622,4
0.369,0.901,-4.468999999999999,4.93e-05,0.0876,4
0.1639999999999999,0.652,-22.063,0.000213,0.00535,4
0.7859999999999999,0.813,-8.979,0.183,0.302,4
0.6,0.648,-4.955,0.56,0.332,4
0.575,0.471,-12.923,0.528,0.055,4
0.647,0.7829999999999999,-7.712999999999999,0.0404,0.924,4
0.721,0.316,-11.469,0.8859999999999999,0.669,4
0.3929999999999999,0.486,-10.908,0.877,0.467,4
0.632,0.537,-9.043,0.299,0.0942,3
0.49,0.8109999999999999,-2.524,0.0896,0.547,4
0.6940000000000001,0.7120000000000001,-3.923,0.133,0.799,4
0.505,0.0671,-22.562,0.938,0.258,3
0.4629999999999999,0.701,-5.893,0.216,0.335,4
0.514,0.088,-18.182,0.968,0.148,4
0.4529999999999999,0.736,-8.651,0.00118,0.091,4
0.521,0.265,-18.229,0.961,0.392,4
0.785,0.4679999999999999,-7.457000000000001,0.495,0.589,4
0.526,0.385,-13.755,0.456,0.212,4
0.754,0.349,-14.519,0.99,0.7759999999999999,3
0.75,0.9,-3.604,0.00226,0.56,4
0.65,0.738,-6.46,0.0539,0.336,4
0.62,0.718,-6.127000000000001,0.624,0.482,4
0.821,0.527,-9.574,0.14,0.902,4
0.6829999999999999,0.7509999999999999,-10.184,0.0681,0.841,4
0.5670000000000001,0.434,-12.755,0.86,0.254,4
0.204,0.0799,-22.987,0.968,0.124,1
0.6409999999999999,0.28,-13.989,0.83,0.143,4
0.7120000000000001,0.8220000000000001,-3.728,0.0321,0.469,4
0.682,0.389,-11.072,0.00985,0.165,4
0.6459999999999999,0.517,-8.991,0.3879999999999999,0.501,4
0.669,0.396,-8.724,0.267,0.546,4
0.664,0.945,-3.846,0.0341,0.718,4
0.632,0.8759999999999999,-5.21,0.0116,0.738,4
0.5539999999999999,0.7829999999999999,-5.852,0.416,0.813,4
0.8370000000000001,0.351,-12.984000000000002,0.885,0.516,4
0.133,0.00512,-33.295,0.993,0.0495,4
0.337,0.809,-2.969,0.0073799999999999,0.319,4
0.491,0.7759999999999999,-3.887,0.314,0.428,4
0.132,0.00869,-30.782,0.973,0.0392,4
0.584,0.7,-4.275,0.1169999999999999,0.4379999999999999,4
0.211,0.252,-20.785,0.946,0.0377,4
0.552,0.517,-15.529000000000002,0.0491,0.285,4
0.528,0.421,-16.302,0.2319999999999999,0.763,4
0.395,0.147,-19.174,0.984,0.1669999999999999,4
0.8,0.802,-5.439,0.23,0.82,4
0.611,0.23,-16.498,0.8320000000000001,0.387,4
0.77,0.915,-3.616,0.0727,0.773,4
0.71,0.482,-5.537000000000001,0.745,0.85,4
0.758,0.862,-4.217,0.528,0.962,4
0.405,0.603,-6.026,0.0442,0.353,4
0.784,0.957,-10.059,0.4539999999999999,0.4379999999999999,4
0.815,0.518,-6.593999999999999,0.223,0.877,4
0.418,0.945,-5.406000000000001,0.0991,0.696,4
0.236,0.0536,-22.153,0.98,0.0585,4
0.472,0.066,-17.374000000000002,0.855,0.13,4
0.55,0.8740000000000001,-4.046,0.000436,0.318,4
0.555,0.24,-17.224,0.894,0.437,4
0.662,0.7390000000000001,-5.354,0.00206,0.382,4
0.551,0.214,-17.887,0.945,0.0471,4
0.42,0.429,-10.9,0.535,0.3,4
0.5579999999999999,0.109,-15.961,0.7879999999999999,0.0575,4
0.799,0.4429999999999999,-9.183,0.123,0.547,4
0.369,0.00543,-27.261,0.996,0.106,4
0.512,0.884,-5.659,0.0016,0.649,4
0.509,0.0587,-27.114,0.996,0.529,4
0.672,0.735,-4.7330000000000005,0.286,0.754,4
0.3379999999999999,0.118,-14.273,0.889,0.0494,4
0.357,0.141,-14.922,0.934,0.135,4
0.7040000000000001,0.758,-3.537,0.233,0.534,4
0.241,0.97,-4.246,7.35e-05,0.621,4
0.505,0.0171,-24.684,0.992,0.238,4
0.8340000000000001,0.738,-6.904,0.2,0.6559999999999999,4
0.687,0.5770000000000001,-7.801,0.118,0.606,4
0.5379999999999999,0.376,-7.167000000000001,0.947,0.579,4
0.5820000000000001,0.39,-13.825,0.00122,0.462,4
0.425,0.852,-5.607,0.0175,0.512,4
0.882,0.767,-10.314,0.00883,0.968,4
0.41,0.0105,-25.507,0.992,0.12,3
0.4479999999999999,0.35,-16.239,0.147,0.2339999999999999,4
0.632,0.103,-19.543,0.956,0.2769999999999999,4
0.552,0.0127,-33.31,0.996,0.482,4
0.598,0.6459999999999999,-4.862,0.2269999999999999,0.162,4
0.753,0.777,-7.318,0.437,0.8909999999999999,4
0.731,0.918,-4.774,0.201,0.7440000000000001,4
0.105,0.104,-18.983,0.636,0.0317,3
0.705,0.882,-3.201,0.0003689999999999,0.7,4
0.583,0.499,-10.267,0.605,0.128,4
0.488,0.493,-7.87,0.174,0.3989999999999999,4
0.624,0.746,-8.593,0.0408,0.2739999999999999,4
0.5820000000000001,0.26,-10.886,0.922,0.446,4
0.33,0.00379,-26.367,0.991,0.128,5
0.782,0.7959999999999999,-4.982,0.0298,0.909,4
0.311,0.376,-12.628,0.534,0.442,4
0.4539999999999999,0.555,-8.978,0.603,0.377,4
0.5660000000000001,0.711,-4.315,0.56,0.542,4
0.626,0.0295,-25.734,0.996,0.682,4
0.565,0.527,-5.035,0.148,0.231,4
0.741,0.634,-6.849,0.632,0.77,4
0.41,0.0735,-30.013,0.996,0.252,4
0.49,0.316,-9.272,0.8809999999999999,0.316,4
0.6409999999999999,0.324,-5.851,0.698,0.273,4
0.346,0.0192,-33.791,0.994,0.442,4
0.6579999999999999,0.145,-21.093000000000004,0.004,0.916,4
0.7,0.631,-8.377,0.325,0.49,4
0.818,0.51,-9.173,0.181,0.5920000000000001,4
0.627,0.331,-14.288,0.37,0.38,4
0.563,0.89,-7.349,0.71,0.895,4
0.537,0.118,-17.55,0.994,0.235,3
0.551,0.696,-6.192,0.0392,0.354,4
0.516,0.0553,-27.568,0.983,0.564,4
0.534,0.863,-4.6160000000000005,0.0152,0.374,4
0.599,0.7609999999999999,-6.8870000000000005,0.713,0.7120000000000001,4
0.313,0.185,-17.131,0.919,0.171,4
0.532,0.662,-8.093,0.0196,0.368,4
0.7,0.6970000000000001,-5.249,0.00922,0.409,4
0.7290000000000001,0.725,-6.723,0.108,0.685,4
0.165,0.0345,-27.332,0.959,0.0325,3
0.475,0.203,-18.915,0.911,0.0839,5
0.545,0.301,-14.99,0.929,0.313,4
0.375,0.114,-24.786,0.995,0.379,4
0.408,0.0361,-20.336,0.99,0.1009999999999999,3
0.779,0.72,-4.702,0.149,0.62,4
0.54,0.0466,-26.103,0.982,0.0577,4
0.145,0.00849,-32.037,0.961,0.0324,1
0.5870000000000001,0.482,-10.834,0.894,0.265,4
0.126,0.104,-21.064,0.961,0.0626,5
0.351,0.847,-5.215,0.00263,0.264,4
0.311,0.0253,-30.561,0.976,0.251,4
0.74,0.451,-13.428,0.959,0.913,3
0.595,0.384,-12.114,0.682,0.691,4
0.688,0.505,-11.77,0.531,0.0699,4
0.8140000000000001,0.883,-7.636,0.294,0.7190000000000001,4
0.8079999999999999,0.174,-14.565,0.8859999999999999,0.2769999999999999,4
0.679,0.693,-10.519,0.109,0.939,4
0.557,0.18,-15.417,0.909,0.456,4
0.433,0.46,-10.441,0.606,0.536,4
0.665,0.721,-9.164,0.475,0.534,4
0.43,0.96,-2.721,0.0859,0.4539999999999999,4
0.623,0.251,-13.098,0.1669999999999999,0.5579999999999999,4
0.508,0.528,-13.241,0.414,0.542,4
0.601,0.178,-17.512,0.815,0.888,4
0.556,0.8290000000000001,-5.122999999999999,0.105,0.7929999999999999,4
0.787,0.78,-5.023,0.25,0.68,4
0.737,0.7829999999999999,-2.983,0.133,0.149,4
0.779,0.669,-4.553,0.675,0.867,4
0.7559999999999999,0.667,-6.83,0.127,0.368,4
0.291,0.0366,-28.232,0.987,0.158,4
0.7040000000000001,0.64,-6.697,0.0526,0.555,4
0.625,0.831,-2.186,0.203,0.491,4
0.499,0.0616,-21.406,0.987,0.147,4
0.748,0.755,-7.28,0.0554,0.8859999999999999,4
0.257,0.299,-9.991,0.872,0.179,3
0.723,0.541,-4.752,0.722,0.49,4
0.926,0.542,-5.064,0.135,0.564,4
0.617,0.421,-14.231,0.541,0.39,4
0.326,0.0244,-31.443,0.995,0.3879999999999999,4
0.611,0.983,-3.12,0.0218,0.727,4
0.225,0.0972,-21.852,0.936,0.0793,4
0.7190000000000001,0.7340000000000001,-7.607,0.0286,0.496,4
0.644,0.0975,-17.301,0.992,0.3979999999999999,3
0.353,0.0993,-25.317,0.981,0.123,3
0.7390000000000001,0.809,-5.134,0.444,0.866,4
0.892,0.634,-8.026,0.149,0.65,4
0.225,0.0998,-28.557,0.8640000000000001,0.0377,3
0.547,0.257,-12.358,0.907,0.1689999999999999,4
0.491,0.511,-9.237,0.44,0.618,4
0.299,0.0927,-21.554,0.976,0.145,4
0.332,0.251,-11.459,0.959,0.14,4
0.884,0.747,-5.555,0.0493,0.6629999999999999,4
0.532,0.335,-13.643,0.7829999999999999,0.2,4
0.259,0.311,-19.27,0.899,0.207,3
0.784,0.496,-5.746,0.14,0.132,4
0.247,0.76,-7.944,0.00145,0.6459999999999999,4
0.481,0.134,-17.099,0.608,0.0753,3
0.262,0.00716,-32.288000000000004,0.996,0.265,3
0.552,0.727,-8.437000000000001,0.2019999999999999,0.68,3
0.562,0.498,-10.617,0.152,0.504,4
0.578,0.866,-3.804,0.00701,0.619,4
0.417,0.437,-11.917,0.351,0.0366,4
0.7340000000000001,0.978,-4.5680000000000005,0.0412,0.845,4
0.6890000000000001,0.267,-13.808,0.96,0.228,4
0.612,0.68,-7.454,0.434,0.22,4
0.6829999999999999,0.741,-5.283,0.502,0.585,4
0.17,0.0038799999999999,-22.555,0.956,0.0588,4
0.893,0.6409999999999999,-5.944,0.00535,0.7859999999999999,4
0.187,0.0298,-28.044,0.98,0.0395,3
0.485,0.718,-5.132999999999999,0.0991,0.233,4
0.899,0.528,-5.442,0.000554,0.456,4
0.652,0.911,-4.168,0.285,0.518,4
0.679,0.5529999999999999,-14.687,0.0611,0.946,4
0.138,0.0055299999999999,-33.681999999999995,0.923,0.0384,4
0.536,0.322,-12.834,0.601,0.236,4
0.32,0.00892,-29.206,0.996,0.3379999999999999,4
0.174,0.138,-21.229,0.906,0.0393,3
0.752,0.5489999999999999,-10.532,0.295,0.6579999999999999,4
0.515,0.426,-7.935,0.6920000000000001,0.319,4
0.78,0.261,-9.626,0.332,0.639,4
0.804,0.674,-12.884,0.103,0.899,4
0.581,0.451,-14.681,0.6409999999999999,0.35,4
0.412,0.109,-16.518,0.971,0.2339999999999999,4
0.7490000000000001,0.82,-6.114,0.0205,0.534,4
0.5670000000000001,0.0249,-21.912,0.978,0.2019999999999999,4
0.835,0.601,-3.871,0.267,0.762,4
0.503,0.265,-15.913,0.943,0.522,4
0.419,0.182,-14.567,0.37,0.0588,4
0.65,0.28,-7.442,0.495,0.103,3
0.6679999999999999,0.473,-15.402,0.231,0.962,4
0.539,0.779,-4.138999999999999,0.247,0.705,4
0.536,0.57,-6.664,0.0682,0.8109999999999999,4
0.4429999999999999,0.497,-8.99,0.373,0.257,4
0.6890000000000001,0.841,-3.74,0.0669,0.906,4
0.294,0.356,-11.963,0.904,0.492,3
0.562,0.3289999999999999,-8.556000000000001,0.502,0.502,4
0.619,0.0117,-27.467,0.995,0.629,4
0.6,0.504,-9.761,0.308,0.547,4
0.3279999999999999,0.185,-12.1,0.83,0.0923,4
0.395,0.252,-13.589,0.8,0.126,4
0.722,0.867,-3.652,0.121,0.893,4
0.3389999999999999,0.214,-11.714,0.908,0.363,3
0.569,0.8959999999999999,-2.613,0.178,0.561,4
0.7040000000000001,0.884,-6.275,0.5489999999999999,0.964,4
0.131,0.05,-28.976,0.0414,0.0036799999999999,4
0.703,0.638,-5.019,0.386,0.425,4
0.75,0.4039999999999999,-10.178,0.216,0.0499,4
0.564,0.0515,-15.118,0.974,0.214,4
0.6609999999999999,0.3429999999999999,-12.409,0.047,0.321,4
0.569,0.184,-12.842,0.908,0.309,4
0.512,0.996,-2.1,5.629999999999999e-05,0.0601,4
0.6409999999999999,0.324,-5.851,0.698,0.273,4
0.306,0.00237,-29.645,0.995,0.148,3
0.7659999999999999,0.64,-8.72,0.153,0.619,4
0.623,0.201,-11.71,0.887,0.54,4
0.85,0.3879999999999999,-10.674,0.0164,0.41,4
0.503,0.943,-7.367999999999999,2.77e-05,0.1989999999999999,4
0.257,0.0123,-34.145,0.991,0.0687,4
0.604,0.894,-4.755,0.0512,0.415,4
0.626,0.621,-11.059,0.0391,0.3939999999999999,4
0.769,0.479,-5.339,0.66,0.8029999999999999,4
0.531,0.909,-4.236000000000001,0.0175,0.8140000000000001,4
0.7140000000000001,0.816,-9.401,0.115,0.5579999999999999,4
0.402,0.754,-4.837,0.143,0.621,4
0.821,0.496,-10.959,0.0471,0.6890000000000001,4
0.596,0.373,-8.888,0.413,0.599,4
0.262,0.928,-2.795,8.08e-05,0.5329999999999999,4
0.478,0.272,-16.160999999999998,0.497,0.715,4
0.637,0.7759999999999999,-7.648,0.193,0.622,4
0.64,0.755,-4.077,0.0138,0.7440000000000001,4
0.5820000000000001,0.718,-5.91,0.465,0.8540000000000001,4
0.778,0.317,-10.732,0.5920000000000001,0.327,4
0.351,0.3329999999999999,-14.970999999999998,0.931,0.159,4
0.721,0.539,-14.064,0.685,0.963,4
0.242,0.00627,-28.104,0.992,0.217,3
0.887,0.8759999999999999,-5.831,0.104,0.492,4
0.5329999999999999,0.6859999999999999,-7.172000000000001,0.51,0.395,4
0.731,0.307,-15.092,0.937,0.255,4
0.765,0.523,-4.333,0.184,0.3939999999999999,4
0.314,0.102,-20.733,0.969,0.306,4
0.6759999999999999,0.7509999999999999,-6.83,0.0505,0.55,4
0.645,0.2239999999999999,-9.04,0.97,0.7190000000000001,4
0.645,0.672,-4.104,0.335,0.421,3
0.536,0.136,-17.292,0.957,0.551,4
0.3989999999999999,0.492,-10.777,0.0579999999999999,0.159,4
0.6559999999999999,0.755,-7.952000000000001,0.0441,0.927,4
0.784,0.631,-9.952,0.452,0.7290000000000001,4
0.5579999999999999,0.768,-9.997,0.121,0.429,4
0.623,0.401,-13.573,0.6559999999999999,0.0397,4
0.944,0.679,-8.095,0.423,0.787,4
0.78,0.376,-13.874,0.46,0.828,4
0.897,0.556,-9.499,0.173,0.562,4
0.843,0.432,-5.658,0.362,0.9,4
0.491,0.489,-11.815,0.482,0.597,4
0.672,0.733,-8.457,0.1119999999999999,0.337,4
0.141,0.0772,-21.482,0.975,0.133,4
0.523,0.402,-8.232999999999999,0.778,0.675,4
0.5870000000000001,0.042,-26.341,0.995,0.379,4
0.6579999999999999,0.515,-7.282999999999999,0.6779999999999999,0.652,4
0.58,0.444,-10.056,0.574,0.963,4
0.885,0.581,-8.812999999999999,0.427,0.728,4
0.6659999999999999,0.8540000000000001,-8.442,0.0044,0.748,4
0.292,0.0251,-25.342,0.992,0.168,4
0.422,0.264,-7.064,0.922,0.331,4
0.72,0.542,-7.582999999999999,0.0514,0.374,4
0.516,0.7020000000000001,-5.312,0.631,0.888,4
0.713,0.506,-5.975,0.15,0.669,4
0.429,0.8340000000000001,-3.848,0.0036299999999999,0.284,4
0.8059999999999999,0.346,-10.885,0.512,0.654,4
0.281,0.00943,-22.661,0.995,0.0384,5
0.552,0.988,-2.555,0.000108,0.619,4
