Store_Ratio,Basket_Ratio,Score_3,Score_4,popularity
0.7659999999999999,0.8140000000000001,0.308,124.017,4
0.72,0.7909999999999999,0.7559999999999999,102.071,4
0.4579999999999999,0.319,0.115,186.615,3
0.477,0.14,0.148,95.678,3
0.698,0.664,0.8009999999999999,111.863,4
0.665,0.128,0.413,104.434,4
0.6709999999999999,0.0705,0.695,169.674,4
0.937,0.648,0.631,135.895,4
0.602,0.885,0.883,103.546,4
0.7020000000000001,0.608,0.597,75.012,4
0.588,0.397,0.178,129.97299999999998,4
0.682,0.4429999999999999,0.5429999999999999,120.974,4
0.797,0.607,0.613,100.98,4
0.447,0.932,0.846,166.484,4
0.317,0.57,0.322,84.25299999999999,4
0.804,0.928,0.8009999999999999,94.964,4
0.715,0.6659999999999999,0.901,124.998,4
0.493,0.921,0.414,108.02,4
0.511,0.477,0.265,143.851,4
0.513,0.4479999999999999,0.126,97.07,4
0.215,0.0397,0.204,173.678,4
0.7240000000000001,0.498,0.8690000000000001,169.976,4
0.789,0.728,0.645,124.995,4
0.647,0.8,0.942,160.078,4
0.7509999999999999,0.501,0.902,167.05700000000002,4
0.0767,0.0116,0.035,73.749,5
0.4539999999999999,0.462,0.223,124.902,4
0.6609999999999999,0.732,0.31,126.004,4
0.812,0.7090000000000001,0.908,91.928,4
0.7559999999999999,0.757,0.4539999999999999,116.979,4
0.735,0.831,0.7559999999999999,123.017,4
0.22,0.708,0.4529999999999999,66.214,4
0.563,0.5920000000000001,0.136,104.016,4
0.637,0.358,0.6920000000000001,79.183,4
0.5429999999999999,0.485,0.371,136.961,4
0.532,0.00248,0.153,50.848,4
0.506,0.69,0.938,94.478,4
0.36,0.0714,0.195,116.016,3
0.579,0.872,0.7609999999999999,76.214,4
0.151,0.0451,0.068,83.874,3
0.535,0.677,0.94,133.88299999999998,4
0.5,0.292,0.37,145.879,4
0.4379999999999999,0.178,0.344,75.248,1
0.4429999999999999,0.91,0.804,169.903,5
0.6,0.8109999999999999,0.467,126.071,4
0.64,0.8640000000000001,0.7,102.026,4
0.522,0.679,0.2189999999999999,91.014,4
0.746,0.1009999999999999,0.68,59.994,4
0.502,0.515,0.0592,120.03,4
0.4429999999999999,0.0038799999999999,0.367,70.292,3
0.644,0.292,0.494,127.216,4
0.5920000000000001,0.8370000000000001,0.66,113.995,4
0.7559999999999999,0.589,0.305,122.057,4
0.2769999999999999,0.962,0.355,95.056,4
0.653,0.69,0.652,110.214,4
0.179,0.386,0.00238,89.045,3
0.696,0.7090000000000001,0.622,80.23100000000001,4
0.369,0.901,0.0876,120.271,4
0.1639999999999999,0.652,0.00535,80.297,4
0.7859999999999999,0.813,0.302,125.988,4
0.6,0.648,0.332,120.002,4
0.575,0.471,0.055,97.272,4
0.647,0.7829999999999999,0.924,112.373,4
0.721,0.316,0.669,118.535,4
0.3929999999999999,0.486,0.467,169.50599999999997,4
0.632,0.537,0.0942,129.983,3
0.49,0.8109999999999999,0.547,125.965,4
0.6940000000000001,0.7120000000000001,0.799,98.022,4
0.505,0.0671,0.258,72.796,3
0.4629999999999999,0.701,0.335,84.601,4
0.514,0.088,0.148,92.069,4
0.4529999999999999,0.736,0.091,139.966,4
0.521,0.265,0.392,77.51899999999999,4
0.785,0.4679999999999999,0.589,168.02900000000002,4
0.526,0.385,0.212,120.008,4
0.754,0.349,0.7759999999999999,106.013,3
0.75,0.9,0.56,124.98,4
0.65,0.738,0.336,119.827,4
0.62,0.718,0.482,164.987,4
0.821,0.527,0.902,109.123,4
0.6829999999999999,0.7509999999999999,0.841,103.036,4
0.5670000000000001,0.434,0.254,82.459,4
0.204,0.0799,0.124,74.45,1
0.6409999999999999,0.28,0.143,168.06400000000002,4
0.7120000000000001,0.8220000000000001,0.469,91.011,4
0.682,0.389,0.165,125.004,4
0.6459999999999999,0.517,0.501,97.818,4
0.669,0.396,0.546,86.927,4
0.664,0.945,0.718,170.013,4
0.632,0.8759999999999999,0.738,140.967,4
0.5539999999999999,0.7829999999999999,0.813,105.39,4
0.8370000000000001,0.351,0.516,114.964,4
0.133,0.00512,0.0495,67.818,4
0.337,0.809,0.319,145.879,4
0.491,0.7759999999999999,0.428,154.988,4
0.132,0.00869,0.0392,77.542,4
0.584,0.7,0.4379999999999999,124.944,4
0.211,0.252,0.0377,77.372,4
0.552,0.517,0.285,120.008,4
0.528,0.421,0.763,85.449,4
0.395,0.147,0.1669999999999999,164.176,4
0.8,0.802,0.82,97.586,4
0.611,0.23,0.387,117.673,4
0.77,0.915,0.773,134.013,4
0.71,0.482,0.85,99.972,4
0.758,0.862,0.962,94.885,4
0.405,0.603,0.353,76.991,4
0.784,0.957,0.4379999999999999,125.999,4
0.815,0.518,0.877,151.891,4
0.418,0.945,0.696,181.174,4
0.236,0.0536,0.0585,59.472,4
0.472,0.066,0.13,106.106,4
0.55,0.8740000000000001,0.318,121.61,4
0.555,0.24,0.437,136.951,4
0.662,0.7390000000000001,0.382,130.999,4
0.551,0.214,0.0471,140.033,4
0.42,0.429,0.3,113.277,4
0.5579999999999999,0.109,0.0575,69.854,4
0.799,0.4429999999999999,0.547,95.025,4
0.369,0.00543,0.106,70.663,4
0.512,0.884,0.649,154.019,4
0.509,0.0587,0.529,132.392,4
0.672,0.735,0.754,115.741,4
0.3379999999999999,0.118,0.0494,208.399,4
0.357,0.141,0.135,122.604,4
0.7040000000000001,0.758,0.534,120.003,4
0.241,0.97,0.621,159.93,4
0.505,0.0171,0.238,135.561,4
0.8340000000000001,0.738,0.6559999999999999,89.99,4
0.687,0.5770000000000001,0.606,91.988,4
0.5379999999999999,0.376,0.579,103.647,4
0.5820000000000001,0.39,0.462,92.274,4
0.425,0.852,0.512,101.968,4
0.882,0.767,0.968,126.889,4
0.41,0.0105,0.12,65.255,3
0.4479999999999999,0.35,0.2339999999999999,177.27900000000002,4
0.632,0.103,0.2769999999999999,124.984,4
0.552,0.0127,0.482,58.874,4
0.598,0.6459999999999999,0.162,77.48100000000001,4
0.753,0.777,0.8909999999999999,99.798,4
0.731,0.918,0.7440000000000001,147.065,4
0.105,0.104,0.0317,86.801,3
0.705,0.882,0.7,130.0,4
0.583,0.499,0.128,79.99600000000001,4
0.488,0.493,0.3989999999999999,79.442,4
0.624,0.746,0.2739999999999999,141.289,4
0.5820000000000001,0.26,0.446,79.55199999999999,4
0.33,0.00379,0.128,62.078,5
0.782,0.7959999999999999,0.909,142.004,4
0.311,0.376,0.442,78.919,4
0.4539999999999999,0.555,0.377,84.72200000000001,4
0.5660000000000001,0.711,0.542,171.642,4
0.626,0.0295,0.682,97.391,4
0.565,0.527,0.231,91.989,4
0.741,0.634,0.77,99.815,4
0.41,0.0735,0.252,132.722,4
0.49,0.316,0.316,105.061,4
0.6409999999999999,0.324,0.273,110.184,4
0.346,0.0192,0.442,88.759,4
0.6579999999999999,0.145,0.916,104.993,4
0.7,0.631,0.49,78.92399999999999,4
0.818,0.51,0.5920000000000001,92.045,4
0.627,0.331,0.38,133.93,4
0.563,0.89,0.895,86.436,4
0.537,0.118,0.235,132.161,3
0.551,0.696,0.354,112.024,4
0.516,0.0553,0.564,144.72799999999998,4
0.534,0.863,0.374,98.006,4
0.599,0.7609999999999999,0.7120000000000001,77.015,4
0.313,0.185,0.171,135.907,4
0.532,0.662,0.368,110.698,4
0.7,0.6970000000000001,0.409,83.95100000000001,4
0.7290000000000001,0.725,0.685,80.52600000000001,4
0.165,0.0345,0.0325,129.093,3
0.475,0.203,0.0839,112.002,5
0.545,0.301,0.313,83.97399999999999,4
0.375,0.114,0.379,89.40299999999999,4
0.408,0.0361,0.1009999999999999,118.208,3
0.779,0.72,0.62,94.021,4
0.54,0.0466,0.0577,130.041,4
0.145,0.00849,0.0324,67.243,1
0.5870000000000001,0.482,0.265,86.82700000000001,4
0.126,0.104,0.0626,172.02599999999998,5
0.351,0.847,0.264,174.43900000000002,4
0.311,0.0253,0.251,116.816,4
0.74,0.451,0.913,141.697,3
0.595,0.384,0.691,90.726,4
0.688,0.505,0.0699,118.003,4
0.8140000000000001,0.883,0.7190000000000001,119.978,4
0.8079999999999999,0.174,0.2769999999999999,136.202,4
0.679,0.693,0.939,115.779,4
0.557,0.18,0.456,85.963,4
0.433,0.46,0.536,77.525,4
0.665,0.721,0.534,109.975,4
0.43,0.96,0.4539999999999999,151.92,4
0.623,0.251,0.5579999999999999,162.013,4
0.508,0.528,0.542,94.745,4
0.601,0.178,0.888,75.656,4
0.556,0.8290000000000001,0.7929999999999999,134.382,4
0.787,0.78,0.68,95.035,4
0.737,0.7829999999999999,0.149,90.01899999999999,4
0.779,0.669,0.867,129.97799999999998,4
0.7559999999999999,0.667,0.368,123.023,4
0.291,0.0366,0.158,201.604,4
0.7040000000000001,0.64,0.555,94.077,4
0.625,0.831,0.491,121.025,4
0.499,0.0616,0.147,62.42,4
0.748,0.755,0.8859999999999999,98.284,4
0.257,0.299,0.179,171.704,3
0.723,0.541,0.49,89.92299999999999,4
0.926,0.542,0.564,135.14,4
0.617,0.421,0.39,131.653,4
0.326,0.0244,0.3879999999999999,111.527,4
0.611,0.983,0.727,109.387,4
0.225,0.0972,0.0793,103.212,4
0.7190000000000001,0.7340000000000001,0.496,202.078,4
0.644,0.0975,0.3979999999999999,124.951,3
0.353,0.0993,0.123,138.135,3
0.7390000000000001,0.809,0.866,89.734,4
0.892,0.634,0.65,115.034,4
0.225,0.0998,0.0377,69.303,3
0.547,0.257,0.1689999999999999,75.752,4
0.491,0.511,0.618,87.39399999999999,4
0.299,0.0927,0.145,94.891,4
0.332,0.251,0.14,113.026,4
0.884,0.747,0.6629999999999999,125.134,4
0.532,0.335,0.2,80.11,4
0.259,0.311,0.207,113.264,3
0.784,0.496,0.132,100.002,4
0.247,0.76,0.6459999999999999,186.379,4
0.481,0.134,0.0753,120.27,3
0.262,0.00716,0.265,160.852,3
0.552,0.727,0.68,165.025,3
0.562,0.498,0.504,86.024,4
0.578,0.866,0.619,128.03799999999998,4
0.417,0.437,0.0366,101.878,4
0.7340000000000001,0.978,0.845,116.082,4
0.6890000000000001,0.267,0.228,117.791,4
0.612,0.68,0.22,82.051,4
0.6829999999999999,0.741,0.585,150.998,4
0.17,0.0038799999999999,0.0588,71.221,4
0.893,0.6409999999999999,0.7859999999999999,129.995,4
0.187,0.0298,0.0395,121.827,3
0.485,0.718,0.233,86.838,4
0.899,0.528,0.456,100.037,4
0.652,0.911,0.518,160.045,4
0.679,0.5529999999999999,0.946,109.071,4
0.138,0.0055299999999999,0.0384,69.831,4
0.536,0.322,0.236,135.5,4
0.32,0.00892,0.3379999999999999,91.366,4
0.174,0.138,0.0393,82.149,3
0.752,0.5489999999999999,0.6579999999999999,105.126,4
0.515,0.426,0.319,184.145,4
0.78,0.261,0.639,92.105,4
0.804,0.674,0.899,122.295,4
0.581,0.451,0.35,86.785,4
0.412,0.109,0.2339999999999999,76.03399999999999,4
0.7490000000000001,0.82,0.534,120.066,4
0.5670000000000001,0.0249,0.2019999999999999,134.616,4
0.835,0.601,0.762,92.02,4
0.503,0.265,0.522,78.044,4
0.419,0.182,0.0588,146.094,4
0.65,0.28,0.103,119.939,3
0.6679999999999999,0.473,0.962,91.976,4
0.539,0.779,0.705,164.02900000000002,4
0.536,0.57,0.8109999999999999,203.278,4
0.4429999999999999,0.497,0.257,74.189,4
0.6890000000000001,0.841,0.906,167.89700000000002,4
0.294,0.356,0.492,178.083,3
0.562,0.3289999999999999,0.502,148.524,4
0.619,0.0117,0.629,72.917,4
0.6,0.504,0.547,78.961,4
0.3279999999999999,0.185,0.0923,71.454,4
0.395,0.252,0.126,177.679,4
0.722,0.867,0.893,102.009,4
0.3389999999999999,0.214,0.363,94.775,3
0.569,0.8959999999999999,0.561,175.905,4
0.7040000000000001,0.884,0.964,93.058,4
0.131,0.05,0.0036799999999999,81.86399999999999,4
0.703,0.638,0.425,125.983,4
0.75,0.4039999999999999,0.0499,95.045,4
0.564,0.0515,0.214,93.961,4
0.6609999999999999,0.3429999999999999,0.321,92.092,4
0.569,0.184,0.309,110.916,4
0.512,0.996,0.0601,130.931,4
0.6409999999999999,0.324,0.273,110.184,4
0.306,0.00237,0.148,67.419,3
0.7659999999999999,0.64,0.619,92.009,4
0.623,0.201,0.54,77.002,4
0.85,0.3879999999999999,0.41,171.013,4
0.503,0.943,0.1989999999999999,115.02,4
0.257,0.0123,0.0687,113.303,4
0.604,0.894,0.415,127.964,4
0.626,0.621,0.3939999999999999,133.002,4
0.769,0.479,0.8029999999999999,96.051,4
0.531,0.909,0.8140000000000001,97.546,4
0.7140000000000001,0.816,0.5579999999999999,103.486,4
0.402,0.754,0.621,108.17,4
0.821,0.496,0.6890000000000001,120.63,4
0.596,0.373,0.599,138.579,4
0.262,0.928,0.5329999999999999,161.925,4
0.478,0.272,0.715,105.441,4
0.637,0.7759999999999999,0.622,108.059,4
0.64,0.755,0.7440000000000001,116.883,4
0.5820000000000001,0.718,0.8540000000000001,92.516,4
0.778,0.317,0.327,140.048,4
0.351,0.3329999999999999,0.159,115.576,4
0.721,0.539,0.963,102.648,4
0.242,0.00627,0.217,74.7,3
0.887,0.8759999999999999,0.492,140.026,4
0.5329999999999999,0.6859999999999999,0.395,126.004,4
0.731,0.307,0.255,77.995,4
0.765,0.523,0.3939999999999999,104.988,4
0.314,0.102,0.306,105.973,4
0.6759999999999999,0.7509999999999999,0.55,113.034,4
0.645,0.2239999999999999,0.7190000000000001,146.716,4
0.645,0.672,0.421,94.932,3
0.536,0.136,0.551,69.388,4
0.3989999999999999,0.492,0.159,91.066,4
0.6559999999999999,0.755,0.927,93.419,4
0.784,0.631,0.7290000000000001,100.01,4
0.5579999999999999,0.768,0.429,81.90899999999999,4
0.623,0.401,0.0397,180.08599999999998,4
0.944,0.679,0.787,101.012,4
0.78,0.376,0.828,94.636,4
0.897,0.556,0.562,92.054,4
0.843,0.432,0.9,94.306,4
0.491,0.489,0.597,113.397,4
0.672,0.733,0.337,111.436,4
0.141,0.0772,0.133,78.30199999999999,4
0.523,0.402,0.675,70.863,4
0.5870000000000001,0.042,0.379,65.008,4
0.6579999999999999,0.515,0.652,110.089,4
0.58,0.444,0.963,185.156,4
0.885,0.581,0.728,114.016,4
0.6659999999999999,0.8540000000000001,0.748,136.954,4
0.292,0.0251,0.168,136.0,4
0.422,0.264,0.331,119.93,4
0.72,0.542,0.374,74.977,4
0.516,0.7020000000000001,0.888,113.866,4
0.713,0.506,0.669,108.884,4
0.429,0.8340000000000001,0.284,142.774,4
0.8059999999999999,0.346,0.654,111.979,4
0.281,0.00943,0.0384,70.348,5
0.552,0.988,0.619,139.941,4
0.584,0.89,0.466,126.04,4
0.4529999999999999,0.914,0.504,129.841,4
0.647,0.8220000000000001,0.962,160.019,4
0.499,0.6920000000000001,0.2289999999999999,141.91299999999998,4
0.373,0.51,0.601,122.81,4
0.362,0.0795,0.135,77.027,4
0.17,0.22,0.032,114.414,3
0.794,0.3779999999999999,0.541,99.99,4
0.3429999999999999,0.264,0.156,76.232,4
0.402,0.0717,0.183,111.938,4
0.711,0.684,0.307,120.976,4
0.74,0.787,0.506,183.085,4
0.623,0.57,0.422,131.951,4
0.537,0.573,0.615,105.795,4
0.627,0.351,0.258,79.973,4
0.509,0.407,0.0411,115.847,3
0.618,0.544,0.322,91.999,4
0.649,0.5660000000000001,0.0374,116.027,4
0.672,0.434,0.696,125.909,4
0.478,0.848,0.48,149.936,4
0.847,0.6779999999999999,0.8109999999999999,97.984,4
0.7070000000000001,0.407,0.532,127.252,4
0.6409999999999999,0.8420000000000001,0.711,115.048,4
0.696,0.574,0.256,137.981,4
0.1119999999999999,0.0264,0.0596,68.141,4
0.583,0.732,0.276,145.99200000000002,4
0.296,0.31,0.7290000000000001,122.971,4
0.597,0.157,0.498,81.009,4
0.687,0.873,0.852,164.067,4
0.377,0.11,0.107,70.01,4
0.575,0.33,0.396,91.689,3
0.684,0.8079999999999999,0.7120000000000001,173.905,4
0.515,0.104,0.206,128.02100000000002,4
0.703,0.563,0.972,127.004,4
0.309,0.0259,0.216,114.393,3
0.421,0.259,0.283,147.08700000000002,4
0.35,0.412,0.168,76.536,4
0.46,0.602,0.718,94.953,4
0.677,0.363,0.405,127.965,4
0.21,0.43,0.215,178.99599999999998,3
0.33,0.556,0.506,173.828,4
0.515,0.322,0.502,108.158,4
0.755,0.81,0.297,101.93,4
0.532,0.825,0.96,169.96099999999998,4
0.313,0.145,0.664,96.73,4
0.6890000000000001,0.521,0.178,95.055,4
0.578,0.862,0.547,100.049,4
0.59,0.555,0.191,84.03200000000001,4
0.299,0.522,0.2289999999999999,89.757,4
0.3939999999999999,0.0139999999999999,0.115,87.024,4
0.747,0.937,0.7390000000000001,103.976,4
0.569,0.0134,0.222,98.696,3
0.249,0.0136,0.0881,126.148,4
0.66,0.159,0.185,170.03099999999998,4
0.4379999999999999,0.315,0.151,156.031,4
0.653,0.976,0.447,105.575,4
0.324,0.1969999999999999,0.3379999999999999,178.893,3
0.35,0.00844,0.259,88.93700000000001,3
0.561,0.596,0.455,79.971,4
0.705,0.728,0.737,107.088,5
0.7659999999999999,0.488,0.5820000000000001,142.035,4
0.691,0.357,0.8809999999999999,124.753,4
0.687,0.514,0.494,145.921,4
0.628,0.821,0.465,93.001,4
0.5920000000000001,0.725,0.784,78.235,4
0.515,0.645,0.307,121.126,4
0.6629999999999999,0.485,0.476,86.986,4
0.6970000000000001,0.276,0.237,94.938,4
0.705,0.64,0.887,144.077,4
0.371,0.5820000000000001,0.486,145.563,4
0.662,0.953,0.892,133.952,4
0.462,0.836,0.6709999999999999,168.766,4
0.58,0.4679999999999999,0.539,129.877,4
0.838,0.4529999999999999,0.815,78.837,4
0.767,0.8340000000000001,0.82,141.993,4
0.525,0.83,0.823,87.852,3
0.1119999999999999,0.0264,0.0596,68.141,4
0.752,0.8009999999999999,0.926,124.975,4
0.675,0.0235,0.4429999999999999,146.172,3
0.557,0.37,0.688,180.00099999999998,4
0.623,0.787,0.614,171.738,4
0.5710000000000001,0.747,0.635,106.253,4
0.401,0.998,0.425,130.466,4
0.687,0.5770000000000001,0.606,91.988,4
0.192,0.0268,0.0778,78.601,4
0.319,0.974,0.575,86.806,4
0.401,0.0273,0.236,133.722,4
0.7120000000000001,0.696,0.564,183.982,4
0.665,0.126,0.457,73.917,3
0.728,0.228,0.304,75.128,4
0.639,0.0808,0.384,77.538,3
0.273,0.0468,0.0527,88.094,4
0.465,0.257,0.0637,119.278,4
0.7929999999999999,0.78,0.872,138.058,4
0.252,0.0436,0.103,148.188,4
0.4539999999999999,0.43,0.0703,138.607,5
0.395,0.015,0.425,122.789,3
0.636,0.3229999999999999,0.289,77.97800000000001,4
0.659,0.5870000000000001,0.546,99.932,4
0.4579999999999999,0.843,0.713,105.701,4
0.726,0.4639999999999999,0.648,103.979,4
0.632,0.595,0.435,124.114,4
0.644,0.5539999999999999,0.868,86.05,4
0.535,0.0206,0.356,48.36,4
0.715,0.469,0.502,113.991,4
0.711,0.731,0.474,130.0,4
0.2239999999999999,0.0138,0.0863,60.584,4
0.718,0.136,0.207,175.918,4
0.706,0.7509999999999999,0.195,91.031,4
0.208,0.168,0.244,101.399,4
0.565,0.377,0.0374,90.0,4
0.484,0.0733,0.111,79.829,4
0.634,0.774,0.82,104.068,4
0.635,0.455,0.102,150.07399999999998,4
0.32,0.00892,0.3379999999999999,91.366,4
0.6629999999999999,0.826,0.322,123.972,4
0.7340000000000001,0.594,0.573,104.043,4
0.701,0.943,0.7909999999999999,128.99200000000002,4
0.7070000000000001,0.866,0.2769999999999999,95.932,4
0.331,0.1639999999999999,0.408,181.035,5
0.645,0.795,0.424,127.959,4
0.672,0.638,0.267,121.998,4
0.752,0.905,0.6890000000000001,97.993,4
0.332,0.0111,0.113,94.045,4
0.705,0.705,0.865,129.961,4
0.7190000000000001,0.79,0.425,118.017,4
0.437,0.301,0.203,126.016,4
0.3279999999999999,0.461,0.2319999999999999,126.015,4
0.357,0.425,0.27,102.078,3
0.556,0.148,0.222,81.422,3
0.787,0.607,0.6809999999999999,109.38,4
0.726,0.815,0.693,99.972,4
0.642,0.698,0.628,111.96,4
0.7340000000000001,0.7659999999999999,0.6,127.986,4
0.8059999999999999,0.362,0.42,127.502,4
0.523,0.564,0.4539999999999999,89.84100000000001,4
0.358,0.644,0.436,152.085,4
0.3989999999999999,0.332,0.0389,66.78699999999999,4
0.258,0.129,0.365,126.783,4
0.65,0.178,0.17,122.015,4
0.497,0.569,0.8109999999999999,120.531,4
0.44,0.95,0.421,126.041,4
0.216,0.196,0.0814,99.767,4
