Store_Ratio,Basket_Ratio,Score_4,popularity
0.821,0.527,109.123,4
0.6829999999999999,0.7509999999999999,103.036,4
0.5670000000000001,0.434,82.459,4
0.204,0.0799,74.45,1
0.6409999999999999,0.28,168.06400000000002,4
0.7120000000000001,0.8220000000000001,91.011,4
0.682,0.389,125.004,4
0.6459999999999999,0.517,97.818,4
0.669,0.396,86.927,4
0.664,0.945,170.013,4
0.632,0.8759999999999999,140.967,4
0.5539999999999999,0.7829999999999999,105.39,4
0.8370000000000001,0.351,114.964,4
0.133,0.00512,67.818,4
0.337,0.809,145.879,4
0.491,0.7759999999999999,154.988,4
0.132,0.00869,77.542,4
0.584,0.7,124.944,4
0.211,0.252,77.372,4
0.552,0.517,120.008,4
0.528,0.421,85.449,4
0.395,0.147,164.176,4
0.8,0.802,97.586,4
0.611,0.23,117.673,4
0.77,0.915,134.013,4
0.71,0.482,99.972,4
0.758,0.862,94.885,4
0.405,0.603,76.991,4
0.784,0.957,125.999,4
0.815,0.518,151.891,4
0.418,0.945,181.174,4
0.236,0.0536,59.472,4
0.472,0.066,106.106,4
0.55,0.8740000000000001,121.61,4
0.555,0.24,136.951,4
0.662,0.7390000000000001,130.999,4
0.551,0.214,140.033,4
0.42,0.429,113.277,4
0.5579999999999999,0.109,69.854,4
0.799,0.4429999999999999,95.025,4
0.369,0.00543,70.663,4
0.512,0.884,154.019,4
0.509,0.0587,132.392,4
0.672,0.735,115.741,4
0.3379999999999999,0.118,208.399,4
0.357,0.141,122.604,4
0.7040000000000001,0.758,120.003,4
0.241,0.97,159.93,4
0.505,0.0171,135.561,4
0.8340000000000001,0.738,89.99,4
0.687,0.5770000000000001,91.988,4
0.5379999999999999,0.376,103.647,4
0.5820000000000001,0.39,92.274,4
0.425,0.852,101.968,4
0.882,0.767,126.889,4
0.41,0.0105,65.255,3
0.4479999999999999,0.35,177.27900000000002,4
0.632,0.103,124.984,4
0.552,0.0127,58.874,4
0.598,0.6459999999999999,77.48100000000001,4
0.753,0.777,99.798,4
0.731,0.918,147.065,4
0.105,0.104,86.801,3
0.705,0.882,130.0,4
0.583,0.499,79.99600000000001,4
0.488,0.493,79.442,4
0.624,0.746,141.289,4
0.5820000000000001,0.26,79.55199999999999,4
0.33,0.00379,62.078,5
0.782,0.7959999999999999,142.004,4
0.311,0.376,78.919,4
0.4539999999999999,0.555,84.72200000000001,4
0.5660000000000001,0.711,171.642,4
0.626,0.0295,97.391,4
0.565,0.527,91.989,4
0.741,0.634,99.815,4
0.41,0.0735,132.722,4
0.49,0.316,105.061,4
0.6409999999999999,0.324,110.184,4
0.346,0.0192,88.759,4
0.6579999999999999,0.145,104.993,4
0.7,0.631,78.92399999999999,4
0.818,0.51,92.045,4
0.627,0.331,133.93,4
0.563,0.89,86.436,4
0.537,0.118,132.161,3
0.551,0.696,112.024,4
0.516,0.0553,144.72799999999998,4
0.534,0.863,98.006,4
0.599,0.7609999999999999,77.015,4
0.313,0.185,135.907,4
0.532,0.662,110.698,4
0.7,0.6970000000000001,83.95100000000001,4
0.7290000000000001,0.725,80.52600000000001,4
0.165,0.0345,129.093,3
0.475,0.203,112.002,5
0.545,0.301,83.97399999999999,4
0.375,0.114,89.40299999999999,4
0.408,0.0361,118.208,3
0.779,0.72,94.021,4
0.54,0.0466,130.041,4
0.145,0.00849,67.243,1
0.5870000000000001,0.482,86.82700000000001,4
0.126,0.104,172.02599999999998,5
0.351,0.847,174.43900000000002,4
0.311,0.0253,116.816,4
0.74,0.451,141.697,3
0.595,0.384,90.726,4
0.688,0.505,118.003,4
0.8140000000000001,0.883,119.978,4
0.8079999999999999,0.174,136.202,4
0.679,0.693,115.779,4
0.557,0.18,85.963,4
0.433,0.46,77.525,4
0.665,0.721,109.975,4
0.43,0.96,151.92,4
0.623,0.251,162.013,4
0.508,0.528,94.745,4
0.601,0.178,75.656,4
0.556,0.8290000000000001,134.382,4
0.787,0.78,95.035,4
0.737,0.7829999999999999,90.01899999999999,4
0.779,0.669,129.97799999999998,4
0.7559999999999999,0.667,123.023,4
0.291,0.0366,201.604,4
0.7040000000000001,0.64,94.077,4
0.625,0.831,121.025,4
0.499,0.0616,62.42,4
0.748,0.755,98.284,4
0.257,0.299,171.704,3
0.723,0.541,89.92299999999999,4
0.926,0.542,135.14,4
0.617,0.421,131.653,4
0.326,0.0244,111.527,4
0.611,0.983,109.387,4
0.225,0.0972,103.212,4
0.7190000000000001,0.7340000000000001,202.078,4
0.644,0.0975,124.951,3
0.353,0.0993,138.135,3
0.7390000000000001,0.809,89.734,4
0.892,0.634,115.034,4
0.225,0.0998,69.303,3
0.547,0.257,75.752,4
0.491,0.511,87.39399999999999,4
0.299,0.0927,94.891,4
0.332,0.251,113.026,4
0.884,0.747,125.134,4
0.532,0.335,80.11,4
0.259,0.311,113.264,3
0.784,0.496,100.002,4
0.247,0.76,186.379,4
0.481,0.134,120.27,3
0.262,0.00716,160.852,3
0.552,0.727,165.025,3
0.562,0.498,86.024,4
0.578,0.866,128.03799999999998,4
0.417,0.437,101.878,4
0.7340000000000001,0.978,116.082,4
0.6890000000000001,0.267,117.791,4
0.612,0.68,82.051,4
0.6829999999999999,0.741,150.998,4
0.17,0.0038799999999999,71.221,4
0.893,0.6409999999999999,129.995,4
0.187,0.0298,121.827,3
0.485,0.718,86.838,4
0.899,0.528,100.037,4
0.652,0.911,160.045,4
0.679,0.5529999999999999,109.071,4
0.138,0.0055299999999999,69.831,4
0.536,0.322,135.5,4
0.32,0.00892,91.366,4
0.174,0.138,82.149,3
0.752,0.5489999999999999,105.126,4
0.515,0.426,184.145,4
0.78,0.261,92.105,4
0.804,0.674,122.295,4
0.581,0.451,86.785,4
0.412,0.109,76.03399999999999,4
0.7490000000000001,0.82,120.066,4
0.5670000000000001,0.0249,134.616,4
0.835,0.601,92.02,4
0.503,0.265,78.044,4
0.419,0.182,146.094,4
0.65,0.28,119.939,3
0.6679999999999999,0.473,91.976,4
0.539,0.779,164.02900000000002,4
0.536,0.57,203.278,4
0.4429999999999999,0.497,74.189,4
0.6890000000000001,0.841,167.89700000000002,4
0.294,0.356,178.083,3
0.562,0.3289999999999999,148.524,4
0.619,0.0117,72.917,4
0.6,0.504,78.961,4
0.3279999999999999,0.185,71.454,4
0.395,0.252,177.679,4
0.722,0.867,102.009,4
0.3389999999999999,0.214,94.775,3
0.569,0.8959999999999999,175.905,4
0.7040000000000001,0.884,93.058,4
0.131,0.05,81.86399999999999,4
0.703,0.638,125.983,4
0.75,0.4039999999999999,95.045,4
0.564,0.0515,93.961,4
0.6609999999999999,0.3429999999999999,92.092,4
0.569,0.184,110.916,4
0.512,0.996,130.931,4
0.6409999999999999,0.324,110.184,4
0.306,0.00237,67.419,3
0.7659999999999999,0.64,92.009,4
0.623,0.201,77.002,4
0.85,0.3879999999999999,171.013,4
0.503,0.943,115.02,4
0.257,0.0123,113.303,4
0.604,0.894,127.964,4
0.626,0.621,133.002,4
0.769,0.479,96.051,4
0.531,0.909,97.546,4
0.7140000000000001,0.816,103.486,4
0.402,0.754,108.17,4
0.821,0.496,120.63,4
0.596,0.373,138.579,4
0.262,0.928,161.925,4
0.478,0.272,105.441,4
0.637,0.7759999999999999,108.059,4
0.64,0.755,116.883,4
0.5820000000000001,0.718,92.516,4
0.778,0.317,140.048,4
0.351,0.3329999999999999,115.576,4
0.721,0.539,102.648,4
0.242,0.00627,74.7,3
0.887,0.8759999999999999,140.026,4
0.5329999999999999,0.6859999999999999,126.004,4
0.731,0.307,77.995,4
0.765,0.523,104.988,4
0.314,0.102,105.973,4
0.6759999999999999,0.7509999999999999,113.034,4
0.645,0.2239999999999999,146.716,4
0.645,0.672,94.932,3
0.536,0.136,69.388,4
0.3989999999999999,0.492,91.066,4
0.6559999999999999,0.755,93.419,4
0.784,0.631,100.01,4
0.5579999999999999,0.768,81.90899999999999,4
0.623,0.401,180.08599999999998,4
0.944,0.679,101.012,4
0.78,0.376,94.636,4
0.897,0.556,92.054,4
0.843,0.432,94.306,4
0.491,0.489,113.397,4
0.672,0.733,111.436,4
0.141,0.0772,78.30199999999999,4
0.523,0.402,70.863,4
0.5870000000000001,0.042,65.008,4
0.6579999999999999,0.515,110.089,4
0.58,0.444,185.156,4
0.885,0.581,114.016,4
0.6659999999999999,0.8540000000000001,136.954,4
0.292,0.0251,136.0,4
0.422,0.264,119.93,4
0.72,0.542,74.977,4
0.516,0.7020000000000001,113.866,4
0.713,0.506,108.884,4
0.429,0.8340000000000001,142.774,4
0.8059999999999999,0.346,111.979,4
0.281,0.00943,70.348,5
0.552,0.988,139.941,4
0.584,0.89,126.04,4
0.4529999999999999,0.914,129.841,4
0.647,0.8220000000000001,160.019,4
0.499,0.6920000000000001,141.91299999999998,4
0.373,0.51,122.81,4
0.362,0.0795,77.027,4
0.17,0.22,114.414,3
0.794,0.3779999999999999,99.99,4
0.3429999999999999,0.264,76.232,4
0.402,0.0717,111.938,4
0.711,0.684,120.976,4
0.74,0.787,183.085,4
0.623,0.57,131.951,4
0.537,0.573,105.795,4
0.627,0.351,79.973,4
0.509,0.407,115.847,3
0.618,0.544,91.999,4
0.649,0.5660000000000001,116.027,4
0.672,0.434,125.909,4
0.478,0.848,149.936,4
0.847,0.6779999999999999,97.984,4
0.7070000000000001,0.407,127.252,4
0.6409999999999999,0.8420000000000001,115.048,4
0.696,0.574,137.981,4
0.1119999999999999,0.0264,68.141,4
0.583,0.732,145.99200000000002,4
0.296,0.31,122.971,4
0.597,0.157,81.009,4
0.687,0.873,164.067,4
0.377,0.11,70.01,4
0.575,0.33,91.689,3
0.684,0.8079999999999999,173.905,4
0.515,0.104,128.02100000000002,4
0.703,0.563,127.004,4
0.309,0.0259,114.393,3
0.421,0.259,147.08700000000002,4
0.35,0.412,76.536,4
0.46,0.602,94.953,4
0.677,0.363,127.965,4
0.21,0.43,178.99599999999998,3
0.33,0.556,173.828,4
0.515,0.322,108.158,4
0.755,0.81,101.93,4
0.532,0.825,169.96099999999998,4
0.313,0.145,96.73,4
0.6890000000000001,0.521,95.055,4
0.578,0.862,100.049,4
0.59,0.555,84.03200000000001,4
0.299,0.522,89.757,4
0.3939999999999999,0.0139999999999999,87.024,4
0.747,0.937,103.976,4
0.569,0.0134,98.696,3
0.249,0.0136,126.148,4
0.66,0.159,170.03099999999998,4
0.4379999999999999,0.315,156.031,4
0.653,0.976,105.575,4
0.324,0.1969999999999999,178.893,3
0.35,0.00844,88.93700000000001,3
0.561,0.596,79.971,4
0.705,0.728,107.088,5
0.7659999999999999,0.488,142.035,4
0.691,0.357,124.753,4
0.687,0.514,145.921,4
0.628,0.821,93.001,4
0.5920000000000001,0.725,78.235,4
0.515,0.645,121.126,4
0.6629999999999999,0.485,86.986,4
0.6970000000000001,0.276,94.938,4
0.705,0.64,144.077,4
0.371,0.5820000000000001,145.563,4
0.662,0.953,133.952,4
0.462,0.836,168.766,4
0.58,0.4679999999999999,129.877,4
0.838,0.4529999999999999,78.837,4
0.767,0.8340000000000001,141.993,4
0.525,0.83,87.852,3
0.1119999999999999,0.0264,68.141,4
0.752,0.8009999999999999,124.975,4
0.675,0.0235,146.172,3
0.557,0.37,180.00099999999998,4
0.623,0.787,171.738,4
0.5710000000000001,0.747,106.253,4
0.401,0.998,130.466,4
0.687,0.5770000000000001,91.988,4
0.192,0.0268,78.601,4
0.319,0.974,86.806,4
0.401,0.0273,133.722,4
0.7120000000000001,0.696,183.982,4
0.665,0.126,73.917,3
0.728,0.228,75.128,4
0.639,0.0808,77.538,3
0.273,0.0468,88.094,4
0.465,0.257,119.278,4
0.7929999999999999,0.78,138.058,4
0.252,0.0436,148.188,4
0.4539999999999999,0.43,138.607,5
0.395,0.015,122.789,3
0.636,0.3229999999999999,77.97800000000001,4
0.659,0.5870000000000001,99.932,4
0.4579999999999999,0.843,105.701,4
0.726,0.4639999999999999,103.979,4
0.632,0.595,124.114,4
0.644,0.5539999999999999,86.05,4
0.535,0.0206,48.36,4
0.715,0.469,113.991,4
0.711,0.731,130.0,4
0.2239999999999999,0.0138,60.584,4
0.718,0.136,175.918,4
0.706,0.7509999999999999,91.031,4
0.208,0.168,101.399,4
0.565,0.377,90.0,4
0.484,0.0733,79.829,4
0.634,0.774,104.068,4
0.635,0.455,150.07399999999998,4
0.32,0.00892,91.366,4
0.6629999999999999,0.826,123.972,4
0.7340000000000001,0.594,104.043,4
0.701,0.943,128.99200000000002,4
0.7070000000000001,0.866,95.932,4
0.331,0.1639999999999999,181.035,5
0.645,0.795,127.959,4
0.672,0.638,121.998,4
0.752,0.905,97.993,4
0.332,0.0111,94.045,4
0.705,0.705,129.961,4
0.7190000000000001,0.79,118.017,4
0.437,0.301,126.016,4
0.3279999999999999,0.461,126.015,4
0.357,0.425,102.078,3
0.556,0.148,81.422,3
0.787,0.607,109.38,4
0.726,0.815,99.972,4
0.642,0.698,111.96,4
0.7340000000000001,0.7659999999999999,127.986,4
0.8059999999999999,0.362,127.502,4
0.523,0.564,89.84100000000001,4
0.358,0.644,152.085,4
0.3989999999999999,0.332,66.78699999999999,4
0.258,0.129,126.783,4
0.65,0.178,122.015,4
0.497,0.569,120.531,4
0.44,0.95,126.041,4
0.216,0.196,99.767,4
0.439,0.55,117.007,4
0.147,0.149,80.829,4
0.782,0.544,96.773,4
0.7040000000000001,0.884,93.058,4
0.0644,0.0435,59.094,4
0.636,0.815,123.063,4
0.748,0.524,95.01,4
0.296,0.892,93.834,3
0.5660000000000001,0.889,127.045,4
0.659,0.456,133.22899999999998,4
0.198,0.0899,111.868,4
0.741,0.466,92.001,4
0.76,0.479,89.911,4
0.369,0.3,75.745,3
0.51,0.0067599999999999,70.47800000000001,4
0.336,0.00779,98.981,4
0.669,0.368,89.977,4
0.3979999999999999,0.56,131.30200000000002,3
0.619,0.0746,75.806,4
0.457,0.987,137.03,4
0.6629999999999999,0.00652,132.082,3
0.389,0.148,142.611,4
0.675,0.75,125.854,4
0.322,0.0028,63.034,4
0.484,0.508,151.86700000000002,4
0.67,0.6679999999999999,88.03299999999999,4
0.637,0.314,171.862,4
0.728,0.974,113.325,4
0.609,0.366,75.008,3
0.65,0.5579999999999999,141.82,4
0.7559999999999999,0.6609999999999999,88.001,4
0.195,0.111,177.125,4
0.606,0.706,174.533,4
0.386,0.00157,59.86600000000001,4
0.5670000000000001,0.434,73.87,4
0.216,0.138,115.27,4
0.625,0.767,179.96400000000003,4
0.342,0.0322,65.229,4
0.588,0.31,179.886,4
0.217,0.131,121.454,1
0.642,0.483,109.995,4
0.4629999999999999,0.00646,139.148,1
0.843,0.447,109.976,4
0.73,0.7190000000000001,139.876,4
0.655,0.941,88.073,4
0.61,0.665,91.976,4
0.705,0.7140000000000001,104.996,4
0.772,0.371,96.574,4
0.636,0.442,89.98899999999999,4
0.605,0.247,115.667,3
0.74,0.531,116.012,4
0.81,0.411,89.993,4
0.356,0.317,159.907,3
0.708,0.879,124.946,4
0.7659999999999999,0.563,126.007,4
0.1889999999999999,0.00495,168.262,3
0.691,0.4539999999999999,135.839,4
0.291,0.027,72.176,3
0.7709999999999999,0.8809999999999999,112.816,4
0.968,0.345,109.803,4
0.589,0.8809999999999999,129.95,4
0.852,0.812,127.023,4
0.7140000000000001,0.868,95.05,4
0.873,0.7190000000000001,93.281,4
0.264,0.012,69.84,1
0.497,0.757,169.90200000000002,4
0.574,0.885,123.872,4
0.741,0.516,140.024,4
0.638,0.867,115.692,4
0.795,0.462,114.423,3
0.415,0.461,83.572,4
0.637,0.8370000000000001,122.969,4
0.346,0.356,87.20700000000001,4
0.698,0.2239999999999999,79.97,4
0.225,0.0364,109.786,1
0.7040000000000001,0.429,119.688,5
0.2789999999999999,0.0331,98.321,4
0.478,0.0981,153.59799999999998,3
0.106,0.00541,92.154,5
0.6990000000000001,0.46,128.977,4
0.482,0.24,99.365,1
0.276,0.152,163.843,4
0.765,0.89,99.961,4
0.478,0.0981,153.59799999999998,3
0.664,0.7140000000000001,101.969,4
0.432,0.0217,63.946000000000005,3
0.377,0.147,138.749,3
0.573,0.245,75.003,4
0.706,0.3879999999999999,84.958,4
0.537,0.203,128.439,4
0.505,0.858,123.004,4
0.346,0.0943,127.006,3
0.54,0.931,132.999,4
0.192,0.737,83.76299999999999,5
0.86,0.488,78.559,4
0.5589999999999999,0.172,77.025,4
0.708,0.8370000000000001,142.07399999999998,4
0.725,0.818,116.0,4
0.616,0.351,136.548,4
0.113,0.113,66.312,5
0.66,0.805,103.008,4
0.906,0.5670000000000001,92.074,4
0.6409999999999999,0.892,158.184,4
0.493,0.207,114.175,4
0.407,0.0132,72.79899999999999,3
0.342,0.999,97.644,3
0.53,0.0871,153.47799999999998,4
0.486,0.449,100.456,4
0.4629999999999999,0.0623,81.154,4
0.341,0.181,83.60799999999999,4
0.609,0.639,91.249,4
0.493,0.556,146.05700000000002,4
0.7490000000000001,0.503,76.175,4
0.528,0.3429999999999999,64.87899999999999,4
0.594,0.7809999999999999,88.17299999999999,4
0.773,0.67,99.989,4
0.759,0.7709999999999999,95.954,4
0.698,0.6609999999999999,131.808,4
0.607,0.802,174.201,4
0.4639999999999999,0.3279999999999999,70.859,3
0.5479999999999999,0.519,103.288,4
0.411,0.203,138.406,4
0.306,0.000634,66.325,4
0.8590000000000001,0.153,111.988,4
0.64,0.6779999999999999,86.71799999999999,4
0.521,0.6809999999999999,143.912,4
0.597,0.115,111.202,4
0.6920000000000001,0.425,80.017,4
0.4429999999999999,0.956,146.754,4
0.2739999999999999,0.0417,43.513000000000005,4
0.49,0.157,191.828,3
0.5660000000000001,0.349,118.025,4
0.563,0.688,108.008,4
0.216,0.196,99.767,4
0.667,0.3279999999999999,76.014,4
0.332,0.0279999999999999,110.099,4
0.615,0.518,152.996,4
0.7120000000000001,0.396,93.432,4
0.389,0.476,148.11700000000002,4
0.354,0.461,123.071,4
0.583,0.898,132.032,4
0.753,0.537,82.01899999999999,4
0.5589999999999999,0.754,169.977,4
0.285,0.0965,88.021,4
0.547,0.0174,51.053,3
0.83,0.585,109.978,4
0.7509999999999999,0.851,139.993,4
0.402,0.0396,114.664,4
0.568,0.835,170.045,4
0.556,0.327,108.913,4
0.862,0.731,138.075,4
0.5920000000000001,0.397,150.03799999999998,3
0.359,0.8540000000000001,99.414,4
0.68,0.0925,66.115,4
0.271,0.0324,123.92,4
0.502,0.477,82.08,4
0.703,0.39,149.965,4
0.412,0.173,84.992,4
0.493,0.284,79.959,4
0.437,0.275,111.408,3
0.652,0.862,173.859,4
0.7809999999999999,0.488,107.005,4
0.778,0.465,121.974,4
0.0,0.0387,0.0,0
0.5710000000000001,0.698,109.867,4
0.628,0.345,99.991,4
0.634,0.779,82.00299999999999,4
0.6829999999999999,0.902,90.447,4
0.755,0.625,147.02,4
0.479,0.789,88.181,4
0.599,0.733,102.211,4
0.447,0.0848,109.703,4
0.469,0.23,172.171,4
0.725,0.7040000000000001,204.004,4
0.37,0.12,127.129,3
0.191,0.0151,201.132,4
0.7290000000000001,0.7509999999999999,127.853,4
0.738,0.3229999999999999,102.002,4
0.528,0.856,87.01899999999999,4
0.486,0.5670000000000001,93.68,4
0.424,0.0577,114.351,4
0.446,0.997,159.99,4
0.472,0.406,97.183,3
0.557,0.902,160.07299999999998,4
0.313,0.111,115.681,4
0.465,0.517,136.17600000000002,3
0.585,0.52,159.80100000000002,4
0.504,0.0644,106.994,5
0.502,0.8170000000000001,90.024,4
0.4589999999999999,0.325,90.817,4
0.953,0.843,134.02100000000002,4
0.629,0.492,94.026,4
0.7709999999999999,0.696,81.95700000000001,4
